code,grade,section,unit,objectives
4수02-02,"3,4",변화와 관계,규칙 찾기,"계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다."
4수03-01,"3,4",도형과 측정,평면도형,"직선, 선분, 반직선을 이해하고 구별할 수 있다."
4수03-02,"3,4",도형과 측정,평면도형,"각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다."
4수03-03,"3,4",도형과 측정,평면도형,직선의 수직 관계와 평행 관계를 이해한다.
4수03-04,"3,4",도형과 측정,평면도형의 이동,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다."
4수03-05,"3,4",도형과 측정,평면도형의 이동,평면에서 점의 이동에 대해 위치와 방향을 이용하여 설명할 수 있다.
4수03-06,"3,4",도형과 측정,원,"원의 중심, 반지름, 지름을 이해하고, 그 성질을 안다."
4수03-07,"3,4",도형과 측정,원,컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다.
4수03-08,"3,4",도형과 측정,삼각형,"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 이등변삼각형, 정삼각형을 이해하고, 그 성질을 탐구하고 설명할 수 있다."
4수03-09,"3,4",도형과 측정,삼각형,"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 직각삼각형, 예각삼각형, 둔각삼각형을 이해한다."
4수03-10,"3,4",도형과 측정,사각형,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다."
4수03-13,"3,4",도형과 측정,길이와 시간,"1분과 1초의 관계를 이해하고, 초 단위까지 시각을 읽을 수 있다."
4수03-14,"3,4",도형과 측정,길이와 시간,실생활 문제 상황과 연결하여 초 단위까지의 시간의 덧셈과 뺄셈을 할 수 있다.
4수03-15,"3,4",도형과 측정,길이와 시간,"길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
4수03-16,"3,4",도형과 측정,길이와 시간,"1cm와 1mm, 1km와 1m의 관계를 이해하고, 길이를 ‘몇 cm 몇 mm’와 ‘몇 mm’, ‘몇 km 몇 m’와 ‘몇 m’로 다양하게 표현할 수 있다."
4수03-17,"3,4",도형과 측정,들이와 무게,"들이 단위 1L와 1mL를 알고, 이를 이용하여 들이를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
4수03-18,"3,4",도형과 측정,들이와 무게,"1L와 1mL의 관계를 이해하고, 들이를 ‘몇 L 몇 mL’와 ‘몇 mL’로 표현할 수 있다."
4수03-19,"3,4",도형과 측정,들이와 무게,실생활 문제 상황과 연결하여 들이의 덧셈과 뺄셈을 할 수 있다.
4수03-20,"3,4",도형과 측정,들이와 무게,"실생활에서 무게를 나타낼 때 사용하는 단위 1g과 1kg을 알고, 이를 이용하여 무게를 측정하고 어림하며 수학의 유용성을 인식할 수 있다."
4수03-21,"3,4",도형과 측정,들이와 무게,"1kg과 1g의 관계를 이해하고, 무게를 ‘몇 kg 몇 g’과 ‘몇 g’으로 표현할 수 있다."
4수03-22,"3,4",도형과 측정,들이와 무게,"실생활에서 무게를 나타낼 때 사용하는 단위 1t을 알고, 1t과 1kg의 관계를 이해한다."
4수03-23,"3,4",도형과 측정,들이와 무게,실생활 문제 상황과 연결하여 무게의 덧셈과 뺄셈을 할 수 있다.
4수03-24,"3,4",도형과 측정,각도,"각의 크기의 단위인 1도(°)를 알고, 각도기를 이용하여 각의 크기를 측정하고 어림할 수 있다."
4수03-25,"3,4",도형과 측정,각도,"여러 가지 방법으로 삼각형과 사각형의 내각의 크기의 합을 추론하고, 자신의 추론 과정을 설명할 수 있다."
4수04-01,"3,4",자료와 가능성,자료와 그림그래프,자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.
4수04-02,"3,4",자료와 가능성,좌표평면과 그래프,자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.
4수04-03,"3,4",자료와 가능성,막대그래프,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다."
9수01-01,"7,8,9",수와 연산,소인수분해,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다."
9수01-02,"7,8,9",수와 연산,소인수분해,소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.
9수01-03,"7,8,9",수와 연산,정수와 유리수,"다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다."
9수01-04,"7,8,9",수와 연산,정수와 유리수,정수와 유리수의 대소 관계를 판단할 수 있다.
9수01-05,"7,8,9",수와 연산,정수와 유리수,"정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다."
9수02-01,"7,8,9",문자와 식,문자와 식,"다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다."
9수02-02,"7,8,9",문자와 식,문자와 식,"일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다."
9수02-03,"7,8,9",변화와 관계,일차방정식,"방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다."
9수02-04,"7,8,9",변화와 관계,일차방정식,"일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다."
9수02-05,"7,8,9",변화와 관계,좌표평면과 그래프,"순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다."
9수02-06,"7,8,9",변화와 관계,좌표평면과 그래프,"다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다."
9수02-07,"7,8,9",변화와 관계,좌표평면과 그래프,"정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다."
9수02-08,"7,8,9",변화와 관계,문자와 식,"지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다."
9수02-09,"7,8,9",변화와 관계,문자와 식,"다항식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다."
9수02-10,"7,8,9",변화와 관계,문자와 식,"‘(단항식)✕(다항식)’, ‘(다항식)÷(단항식)’과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다."
